par_cz,kid_race,par_pctile,shrunk_xkid_brcbalance2020,cz_name
100,Hispanic,50,4028.052460084718,Johnson City
100,Hispanic,25,2934.707070707071,Johnson City
100,White,50,3777.937204066976,Johnson City
100,White,-9,3687.023146473779,Johnson City
100,White,75,4812.411974623315,Johnson City
100,AIAN,25,1602,Johnson City
100,Asian,75,7670.830769230769,Johnson City
100,Black,75,3654.357798165137,Johnson City
100,Black,50,2799.37739154488,Johnson City
100,Pooled,25,2746.302604897832,Johnson City
100,Asian,50,6705.73076923077,Johnson City
100,Asian,25,5740.630769230769,Johnson City
100,Hispanic,75,5121.397849462365,Johnson City
100,Pooled,50,3784.957497470439,Johnson City
100,AIAN,50,2762.5,Johnson City
100,Asian,-9,6705.73076923077,Johnson City
100,White,25,2743.462433510638,Johnson City
100,Black,-9,2549.545454545455,Johnson City
100,Pooled,-9,3690.582525097839,Johnson City
100,Hispanic,-9,3993.885416666667,Johnson City
100,AIAN,-9,2762.5,Johnson City
100,AIAN,75,3923,Johnson City
100,Pooled,75,4823.612390043047,Johnson City
100,Black,25,1944.396984924623,Johnson City
200,Black,25,2269.361445783133,Morristown
200,Black,-9,2685.674242424242,Morristown
200,Hispanic,75,3885.739130434783,Morristown
200,Asian,25,6109.666666666667,Morristown
200,White,50,3994.819991433772,Morristown
200,AIAN,75,3899,Morristown
200,AIAN,25,1398,Morristown
200,Black,50,2830.109294320137,Morristown
200,Pooled,25,2786.462229617304,Morristown
200,Asian,-9,6134,Morristown
200,Hispanic,25,2757.153846153846,Morristown
200,AIAN,50,2648.5,Morristown
200,White,75,5207.806060606061,Morristown
200,Pooled,50,3955.684896321257,Morristown
200,White,25,2781.833922261484,Morristown
200,Hispanic,-9,3286.897959183673,Morristown
200,AIAN,-9,2648.5,Morristown
200,White,-9,3675.328125,Morristown
200,Pooled,75,5124.90756302521,Morristown
200,Asian,50,6134,Morristown
200,Black,75,3390.857142857143,Morristown
200,Asian,75,6158.333333333333,Morristown
200,Hispanic,50,3321.446488294314,Morristown
200,Pooled,-9,3657.887056367432,Morristown
301,Hispanic,25,2699.5,Middlesborough
301,Asian,-9,5874.5,Middlesborough
301,White,75,4284.992592592593,Middlesborough
301,Asian,75,8365,Middlesborough
301,Pooled,25,2615.174528301887,Middlesborough
301,Black,25,2084.5,Middlesborough
301,Hispanic,50,3551.25,Middlesborough
301,Pooled,75,4401.748427672956,Middlesborough
301,Hispanic,75,4403,Middlesborough
301,Black,50,2246,Middlesborough
301,White,25,2608.725,Middlesborough
301,Asian,50,5874.5,Middlesborough
301,White,50,3446.858796296297,Middlesborough
301,Hispanic,-9,3551.25,Middlesborough
301,Asian,25,3384,Middlesborough
301,Pooled,50,3508.461477987421,Middlesborough
301,White,-9,3031.708411214953,Middlesborough
301,Black,-9,2246,Middlesborough
301,Pooled,-9,3102.421955403087,Middlesborough
301,Black,75,2407.5,Middlesborough
302,White,50,3832.767792234428,Knoxville
302,Pooled,50,3782.610985135863,Knoxville
302,Black,50,2663.509731538226,Knoxville
302,Black,25,1761.805626598466,Knoxville
302,Black,-9,2283.154545454545,Knoxville
302,Pooled,75,4749.199076267172,Knoxville
302,Hispanic,25,2960.331325301205,Knoxville
302,AIAN,-9,2808.2,Knoxville
302,White,25,2904.756954612006,Knoxville
302,Asian,-9,6338.590476190476,Knoxville
302,Black,75,3565.213836477988,Knoxville
302,Hispanic,-9,3956.411764705882,Knoxville
302,White,-9,3895.715981984441,Knoxville
302,AIAN,75,3726,Knoxville
302,Hispanic,75,5137.478571428572,Knoxville
302,Pooled,-9,3814.416758409786,Knoxville
302,Hispanic,50,4048.904948364888,Knoxville
302,White,75,4760.778629856851,Knoxville
302,Asian,25,5445.727272727273,Knoxville
302,Pooled,25,2816.022894004554,Knoxville
302,Asian,50,6214.175111773473,Knoxville
302,Asian,75,6982.622950819672,Knoxville
302,AIAN,50,2808.2,Knoxville
302,AIAN,25,1890.4,Knoxville
401,Pooled,-9,3790.923665582552,Winston-Salem
401,Black,75,3750.383720930232,Winston-Salem
401,Asian,25,4647.411764705882,Winston-Salem
401,Hispanic,25,3114.886462882096,Winston-Salem
401,Black,25,1793.622406639004,Winston-Salem
401,Pooled,75,4732.634359692092,Winston-Salem
401,Black,-9,2308.244648318043,Winston-Salem
401,White,25,2995.329966329966,Winston-Salem
401,Hispanic,50,3919.001082680717,Winston-Salem
401,AIAN,-9,4148.92,Winston-Salem
401,Asian,75,5931.476190476191,Winston-Salem
401,White,75,4808.629778672032,Winston-Salem
401,Pooled,50,3693.73148968142,Winston-Salem
401,AIAN,75,5916.36,Winston-Salem
401,Hispanic,-9,3670.874285714286,Winston-Salem
401,AIAN,50,4148.92,Winston-Salem
401,Black,50,2772.003063784618,Winston-Salem
401,White,-9,4130.35516372796,Winston-Salem
401,Asian,-9,5357.026315789473,Winston-Salem
401,Hispanic,75,4723.115702479339,Winston-Salem
401,Asian,50,5289.443977591036,Winston-Salem
401,Pooled,25,2654.828619670747,Winston-Salem
401,AIAN,25,2381.48,Winston-Salem
401,White,50,3901.979872501,Winston-Salem
402,Asian,50,5866.25,Martinsville
402,Asian,-9,5866.25,Martinsville
402,White,50,4067.440596887326,Martinsville
402,Asian,75,4766,Martinsville
402,Black,25,2152.888888888889,Martinsville
402,Black,-9,2637.029850746268,Martinsville
402,Pooled,75,5027.484140233722,Martinsville
402,Black,75,4648.076923076923,Martinsville
402,Hispanic,25,4395.666666666667,Martinsville
402,White,-9,4014.155511811024,Martinsville
402,Pooled,25,2841.171301446051,Martinsville
402,Hispanic,75,5583,Martinsville
402,Hispanic,-9,4989.333333333333,Martinsville
402,White,75,5069.989604989605,Martinsville
402,Pooled,-9,3715.404539385848,Martinsville
402,Black,50,3400.482905982906,Martinsville
402,Hispanic,50,4989.333333333334,Martinsville
402,Pooled,50,3934.327720839887,Martinsville
402,Asian,25,6966.5,Martinsville
402,White,25,3064.891588785047,Martinsville
500,White,75,4764.053060371841,Greensboro
500,Black,25,1871.518572825024,Greensboro
500,AIAN,25,1872.333333333333,Greensboro
500,AIAN,-9,3130.054545454545,Greensboro
500,Hispanic,75,4756.233333333334,Greensboro
500,AIAN,75,4639.32,Greensboro
500,Pooled,50,3678.828902102174,Greensboro
500,Pooled,-9,3659.586335676626,Greensboro
500,Hispanic,50,3848.049156118143,Greensboro
500,Asian,75,6510.50625,Greensboro
500,White,25,3033.146305125149,Greensboro
500,Black,75,3962.442595673877,Greensboro
500,AIAN,50,3255.826666666666,Greensboro
500,Asian,25,4945.109375,Greensboro
500,White,-9,4050.6890580867,Greensboro
500,Asian,-9,5547.185096153846,Greensboro
500,Hispanic,-9,3439.782874617737,Greensboro
500,Black,50,2916.980584249451,Greensboro
500,White,50,3898.599682748495,Greensboro
500,Pooled,75,4702.101826974746,Greensboro
500,Black,-9,2346.261805817907,Greensboro
500,Pooled,25,2655.555977229601,Greensboro
500,Hispanic,25,2939.864978902954,Greensboro
500,Asian,50,5727.8078125,Greensboro
601,Pooled,25,2752.887882219706,North Wilkesboro
601,Black,50,2547.68,North Wilkesboro
601,Hispanic,75,4845.235294117647,North Wilkesboro
601,White,-9,3578.954954954955,North Wilkesboro
601,Pooled,-9,3586.674592391304,North Wilkesboro
601,Black,25,2188.36,North Wilkesboro
601,Asian,75,6392.5,North Wilkesboro
601,White,75,4876.631578947368,North Wilkesboro
601,Black,75,2907,North Wilkesboro
601,Asian,-9,5713.75,North Wilkesboro
601,Asian,50,5713.75,North Wilkesboro
601,Hispanic,-9,4423.264705882353,North Wilkesboro
601,White,25,2716,North Wilkesboro
601,Hispanic,25,4001.294117647059,North Wilkesboro
601,White,50,3796.315789473684,North Wilkesboro
601,Hispanic,50,4423.264705882353,North Wilkesboro
601,Pooled,75,4836.646859083192,North Wilkesboro
601,Pooled,50,3794.767370651449,North Wilkesboro
601,Black,-9,2421.432432432433,North Wilkesboro
601,Asian,25,5035,North Wilkesboro
602,Hispanic,75,6146.5,Galax
602,White,75,4779.163522012579,Galax
602,Hispanic,50,4872.125,Galax
602,Pooled,75,4911.136125654451,Galax
602,Black,75,4987.25,Galax
602,White,50,3910.225171859003,Galax
602,Hispanic,25,3597.75,Galax
602,Pooled,50,3956.788752482398,Galax
602,Hispanic,-9,4872.125,Galax
602,Pooled,-9,3760.363825363826,Galax
602,Black,25,1780.75,Galax
602,White,25,3041.286821705427,Galax
602,Pooled,25,3002.441379310345,Galax
602,Black,-9,3384,Galax
602,Black,50,3384,Galax
602,White,-9,3703.930455635491,Galax
700,Hispanic,75,4954.876923076923,Spartanburg
700,Black,25,1690.39364640884,Spartanburg
700,Asian,50,5029.139784946237,Spartanburg
700,AIAN,75,4233,Spartanburg
700,Hispanic,-9,3591.612359550562,Spartanburg
700,White,25,2544.168,Spartanburg
700,White,50,3606.813138627187,Spartanburg
700,Pooled,75,4604.679206765821,Spartanburg
700,AIAN,50,3057,Spartanburg
700,Asian,-9,5023.213114754099,Spartanburg
700,Pooled,50,3443.684314106706,Spartanburg
700,Asian,75,5390.666666666667,Spartanburg
700,Pooled,25,2282.689421447591,Spartanburg
700,AIAN,-9,3057,Spartanburg
700,Black,50,2747.116576290839,Spartanburg
700,Pooled,-9,3335.877645502645,Spartanburg
700,White,75,4669.458277254374,Spartanburg
700,AIAN,25,1881,Spartanburg
700,Hispanic,25,2807.433628318584,Spartanburg
700,Black,75,3803.83950617284,Spartanburg
700,Hispanic,50,3881.155275697753,Spartanburg
700,Asian,25,4667.612903225807,Spartanburg
700,Black,-9,2076.825056433408,Spartanburg
700,White,-9,3698.474049707602,Spartanburg
800,Asian,75,5636.6,Gastonia
800,Asian,50,5264.816949152542,Gastonia
800,AIAN,25,1396.333333333333,Gastonia
800,Black,75,3266.685714285714,Gastonia
800,Hispanic,75,4066.559322033898,Gastonia
800,White,25,2455.038805970149,Gastonia
800,Hispanic,50,3487.91745629254,Gastonia
800,Pooled,75,4338.751976284586,Gastonia
800,AIAN,75,3929.666666666667,Gastonia
800,Hispanic,25,2909.275590551181,Gastonia
800,White,-9,3474.261802575108,Gastonia
800,Black,-9,1915.126917712692,Gastonia
800,AIAN,-9,2663,Gastonia
800,Black,50,2426.9390443179,Gastonia
800,Pooled,50,3309.350425987011,Gastonia
800,White,50,3433.660886501558,Gastonia
800,Asian,-9,5214.76923076923,Gastonia
800,Hispanic,-9,3276.370967741936,Gastonia
800,Black,25,1587.192374350087,Gastonia
800,White,75,4412.282967032967,Gastonia
800,Pooled,25,2279.948875689436,Gastonia
800,Asian,25,4893.033898305085,Gastonia
