par_cz,kid_race,par_pctile,shrunk_xkid_vscore2020,cz_name
100,AIAN,50,645.4000000000001,Johnson City
100,AIAN,25,615.7,Johnson City
100,Hispanic,-9,659.4291666666667,Johnson City
100,Pooled,25,629.789648162627,Johnson City
100,White,-9,663.8606148282098,Johnson City
100,Black,50,614.8990664330829,Johnson City
100,Asian,75,729.0553846153846,Johnson City
100,Black,75,639.445871559633,Johnson City
100,AIAN,75,675.1,Johnson City
100,White,75,703.9731562252181,Johnson City
100,Black,25,590.3522613065327,Johnson City
100,Asian,50,717.27,Johnson City
100,Pooled,-9,662.8550076778706,Johnson City
100,Hispanic,75,685.4967741935484,Johnson City
100,Asian,25,705.4846153846154,Johnson City
100,Pooled,50,666.1696128930274,Johnson City
100,Black,-9,607.7262987012987,Johnson City
100,Asian,-9,717.27,Johnson City
100,Hispanic,50,660.2190941674812,Johnson City
100,Hispanic,25,634.9414141414142,Johnson City
100,White,50,667.1010894158005,Johnson City
100,AIAN,-9,645.4,Johnson City
100,White,25,630.229022606383,Johnson City
100,Pooled,75,702.5495776234278,Johnson City
200,White,25,631.6053003533569,Morristown
200,AIAN,-9,639.25,Morristown
200,AIAN,75,677.5,Morristown
200,Pooled,50,663.2786969674607,Morristown
200,Hispanic,75,679.3565217391305,Morristown
200,White,50,664.8176804797088,Morristown
200,Hispanic,50,656.0859531772576,Morristown
200,Black,50,611.325866732235,Morristown
200,Asian,25,688.2666666666667,Morristown
200,White,75,698.0300606060606,Morristown
200,Pooled,-9,655.0374528697109,Morristown
200,Asian,-9,695.3333333333334,Morristown
200,Asian,50,695.3333333333333,Morristown
200,Black,75,626.0204081632653,Morristown
200,Black,-9,607.5409090909091,Morristown
200,Hispanic,25,632.8153846153846,Morristown
200,Hispanic,-9,654.6612244897959,Morristown
200,AIAN,25,601,Morristown
200,Pooled,25,631.0297630964297,Morristown
200,White,-9,656.0697767857143,Morristown
200,Asian,75,702.4,Morristown
200,AIAN,50,639.25,Morristown
200,Black,25,596.6313253012048,Morristown
200,Pooled,75,695.5276308384919,Morristown
301,White,25,634.8625,Middlesborough
301,White,75,693.7377777777778,Middlesborough
301,Black,50,605.675,Middlesborough
301,Pooled,75,690.3358490566038,Middlesborough
301,Hispanic,25,626,Middlesborough
301,Asian,50,711.45,Middlesborough
301,White,-9,649.7188785046729,Middlesborough
301,Asian,25,704.4,Middlesborough
301,Black,75,618.75,Middlesborough
301,Hispanic,75,676.35,Middlesborough
301,White,50,664.3001388888888,Middlesborough
301,Pooled,-9,650.2442538593482,Middlesborough
301,Hispanic,50,651.175,Middlesborough
301,Asian,75,718.5,Middlesborough
301,Hispanic,-9,651.175,Middlesborough
301,Pooled,50,662.7728773584906,Middlesborough
301,Pooled,25,635.2099056603773,Middlesborough
301,Black,25,592.6,Middlesborough
301,Black,-9,605.675,Middlesborough
301,Asian,-9,711.45,Middlesborough
302,Asian,75,741.2032786885246,Knoxville
302,Pooled,25,631.7275992916772,Knoxville
302,Black,50,614.9474472807991,Knoxville
302,Asian,25,724.2090909090909,Knoxville
302,Pooled,75,704.7691970630033,Knoxville
302,Hispanic,75,678.5735714285714,Knoxville
302,Black,75,637.9301886792452,Knoxville
302,White,25,635.0380673499268,Knoxville
302,AIAN,-9,638.16,Knoxville
302,AIAN,50,638.1600000000001,Knoxville
302,Hispanic,-9,657.9486928104575,Knoxville
302,Asian,50,732.7061847988077,Knoxville
302,White,-9,673.7538556025659,Knoxville
302,Black,-9,605.252909090909,Knoxville
302,Black,25,591.964705882353,Knoxville
302,White,75,707.5509969325153,Knoxville
302,Hispanic,25,640.5542168674699,Knoxville
302,Pooled,-9,669.450122324159,Knoxville
302,AIAN,75,672.58,Knoxville
302,AIAN,25,603.74,Knoxville
302,Hispanic,50,659.5638941480206,Knoxville
302,Pooled,50,668.2483981773403,Knoxville
302,White,50,671.294532141221,Knoxville
302,Asian,-9,734.0819047619048,Knoxville
401,Black,75,633.9131782945736,Winston-Salem
401,Asian,75,734.8380952380952,Winston-Salem
401,AIAN,75,672.568,Winston-Salem
401,Hispanic,50,663.5202425204807,Winston-Salem
401,AIAN,25,607.748,Winston-Salem
401,Asian,-9,726.2210526315789,Winston-Salem
401,Hispanic,25,643.3305676855895,Winston-Salem
401,White,-9,687.3507556675063,Winston-Salem
401,Asian,50,725.2072829131653,Winston-Salem
401,Pooled,-9,670.2113736368854,Winston-Salem
401,Pooled,75,704.9710811756473,Winston-Salem
401,Black,-9,599.5818552497451,Winston-Salem
401,White,75,712.5243460764588,Winston-Salem
401,Black,25,587.3308437067773,Winston-Salem
401,Black,50,610.6220110006755,Winston-Salem
401,Asian,25,715.5764705882353,Winston-Salem
401,White,50,678.8747993008556,Winston-Salem
401,Pooled,50,666.6238901023868,Winston-Salem
401,White,25,645.2252525252525,Winston-Salem
401,Hispanic,-9,657.2902857142857,Winston-Salem
401,Pooled,25,628.2766990291262,Winston-Salem
401,AIAN,50,640.158,Winston-Salem
401,Hispanic,75,683.7099173553719,Winston-Salem
401,AIAN,-9,640.158,Winston-Salem
402,Asian,25,716.85,Martinsville
402,White,75,707.85841995842,Martinsville
402,Hispanic,75,687.9666666666667,Martinsville
402,Hispanic,25,649,Martinsville
402,Black,25,592.4444444444445,Martinsville
402,White,25,639.1042990654206,Martinsville
402,Hispanic,-9,668.4833333333333,Martinsville
402,Pooled,25,623.9359288097886,Martinsville
402,Pooled,75,699.6035058430717,Martinsville
402,Asian,75,731.7,Martinsville
402,Pooled,50,661.7697173264302,Martinsville
402,Black,-9,602.7766169154229,Martinsville
402,Hispanic,50,668.4833333333333,Martinsville
402,Asian,-9,724.275,Martinsville
402,Asian,50,724.2750000000001,Martinsville
402,Black,50,619.0696581196581,Martinsville
402,White,-9,671.6542322834646,Martinsville
402,Pooled,-9,654.1928571428572,Martinsville
402,White,50,673.4813595119203,Martinsville
402,Black,75,645.6948717948718,Martinsville
500,White,50,676.0333462785211,Greensboro
500,Pooled,25,625.3532258064516,Greensboro
500,AIAN,75,650.372,Greensboro
500,White,25,642.4941001191895,Greensboro
500,Black,50,613.6722770618535,Greensboro
500,Hispanic,-9,653.2091743119266,Greensboro
500,Black,-9,601.0976955043445,Greensboro
500,Hispanic,50,662.1872503516174,Greensboro
500,Hispanic,75,682.1588888888889,Greensboro
500,AIAN,50,628.3726666666666,Greensboro
500,AIAN,25,606.3733333333333,Greensboro
500,White,75,709.5725924378526,Greensboro
500,Hispanic,25,642.2156118143459,Greensboro
500,Asian,75,727.234375,Greensboro
500,Asian,-9,712.98125,Greensboro
500,AIAN,-9,626.3727272727273,Greensboro
500,White,-9,681.9273240820337,Greensboro
500,Black,75,636.7068219633943,Greensboro
500,Pooled,50,663.3140076730629,Greensboro
500,Pooled,75,701.274789539674,Greensboro
500,Asian,50,715.6537109375,Greensboro
500,Asian,25,704.073046875,Greensboro
500,Pooled,-9,662.600158172232,Greensboro
500,Black,25,590.6377321603128,Greensboro
601,Hispanic,75,708.1705882352941,North Wilkesboro
601,Pooled,75,708.1122241086588,North Wilkesboro
601,Asian,-9,718.025,North Wilkesboro
601,Hispanic,-9,679.4117647058823,North Wilkesboro
601,Pooled,25,646.9394110985278,North Wilkesboro
601,Hispanic,25,650.6529411764706,North Wilkesboro
601,White,75,710.2736842105263,North Wilkesboro
601,Black,75,646.5666666666667,North Wilkesboro
601,Asian,25,707.55,North Wilkesboro
601,Pooled,-9,671.416847826087,North Wilkesboro
601,Asian,75,728.5,North Wilkesboro
601,Black,50,623.7893333333334,North Wilkesboro
601,Pooled,50,677.5258176035933,North Wilkesboro
601,White,50,679.3962171052631,North Wilkesboro
601,Asian,50,718.025,North Wilkesboro
601,Hispanic,50,679.4117647058823,North Wilkesboro
601,Black,-9,615.7864864864865,North Wilkesboro
601,Black,25,601.0119999999999,North Wilkesboro
601,White,-9,673.1836336336337,North Wilkesboro
601,White,25,648.51875,North Wilkesboro
602,White,-9,670.6117505995204,Galax
602,Black,75,668.65,Galax
602,White,25,644.7341085271318,Galax
602,White,50,678.6679976597923,Galax
602,Black,50,637.6125,Galax
602,Pooled,75,706.8109947643979,Galax
602,Pooled,50,674.8734284166817,Galax
602,Hispanic,75,687.425,Galax
602,Pooled,-9,668.3,Galax
602,Pooled,25,642.9358620689655,Galax
602,Hispanic,-9,668.8625,Galax
602,Black,-9,637.6125,Galax
602,Hispanic,25,650.3,Galax
602,Hispanic,50,668.8625,Galax
602,White,75,712.6018867924528,Galax
602,Black,25,606.575,Galax
700,Black,25,581.0799723756907,Spartanburg
700,Hispanic,-9,647.1887640449438,Spartanburg
700,Pooled,-9,645.6868783068783,Spartanburg
700,Pooled,50,649.3844408610144,Spartanburg
700,Asian,25,684.8903225806451,Spartanburg
700,AIAN,75,664.9,Spartanburg
700,White,-9,662.7672514619883,Spartanburg
700,White,25,623.3388,Spartanburg
700,Asian,50,698.5151612903226,Spartanburg
700,Pooled,25,609.5645364318567,Spartanburg
700,Hispanic,50,653.7422191967325,Spartanburg
700,AIAN,-9,630.6,Spartanburg
700,Pooled,75,689.2043452901721,Spartanburg
700,Asian,-9,698.2918032786886,Spartanburg
700,Hispanic,75,678.0446153846154,Spartanburg
700,AIAN,50,630.5999999999999,Spartanburg
700,White,75,695.9338492597577,Spartanburg
700,Black,75,626.0672839506173,Spartanburg
700,Black,-9,589.3056433408578,Spartanburg
700,AIAN,25,596.3,Spartanburg
700,Hispanic,25,629.4398230088495,Spartanburg
700,White,50,659.6363246298788,Spartanburg
700,Black,50,603.5736281631539,Spartanburg
700,Asian,75,712.14,Spartanburg
800,Black,50,604.2708795493934,Gastonia
800,Black,25,584.0067590987868,Gastonia
800,White,-9,660.5655221745351,Gastonia
800,Asian,75,721.7066666666667,Gastonia
800,Black,75,624.535,Gastonia
800,AIAN,75,649.6,Gastonia
800,White,25,622.9871641791045,Gastonia
800,Pooled,75,690.0515563241107,Gastonia
800,Hispanic,75,678.7406779661017,Gastonia
800,AIAN,-9,626.4833333333333,Gastonia
800,Pooled,25,614.6390750954604,Gastonia
800,Asian,25,696.2847457627119,Gastonia
800,Pooled,50,652.3453157097856,Gastonia
800,Hispanic,-9,650.2252688172043,Gastonia
800,Pooled,-9,649.4792627254052,Gastonia
800,White,50,659.0685820895523,Gastonia
800,White,75,695.15,Gastonia
800,AIAN,25,603.3666666666667,Gastonia
800,Hispanic,25,636.9779527559056,Gastonia
800,Black,-9,591.9202231520223,Gastonia
800,Hispanic,50,657.8593153610036,Gastonia
800,Asian,-9,707.2846153846153,Gastonia
800,AIAN,50,626.4833333333333,Gastonia
800,Asian,50,708.9957062146893,Gastonia
900,Hispanic,75,685.0068493150685,Charlotte
900,White,25,646.1073359073359,Charlotte
900,AIAN,25,601.7207547169811,Charlotte
900,AIAN,75,658.2162790697674,Charlotte
900,White,75,709.3646155935887,Charlotte
900,Hispanic,-9,660.5760956175299,Charlotte
900,Asian,75,731.9124309392265,Charlotte
900,Pooled,50,663.1297304385391,Charlotte
900,Black,-9,599.8396009975062,Charlotte
900,Hispanic,25,646.6211267605634,Charlotte
900,Asian,50,724.3739654696133,Charlotte
900,Asian,-9,723.9980314960629,Charlotte
900,AIAN,50,629.9685168933743,Charlotte
900,Black,25,590.7270133164236,Charlotte
900,Hispanic,50,665.813988037816,Charlotte
900,Black,50,612.0713337610155,Charlotte
900,Pooled,-9,665.5255635624538,Charlotte
900,White,50,677.7359757504623,Charlotte
900,Pooled,25,624.7301780201011,Charlotte
900,Asian,25,716.8355,Charlotte
900,Pooled,75,701.5292828569773,Charlotte
900,White,-9,687.5139414955099,Charlotte
900,AIAN,-9,627.0260416666666,Charlotte
900,Black,75,633.4156542056074,Charlotte
1001,White,75,719.9543859649123,Boone
1001,Hispanic,-9,666.5833333333334,Boone
1001,White,50,687.9204260651629,Boone
1001,Asian,50,721.0999999999999,Boone
1001,Black,75,664.85,Boone
1001,Pooled,75,715.6707692307692,Boone
1001,Pooled,-9,679.6362886597938,Boone
1001,Asian,-9,721.1,Boone
1001,White,25,655.8864661654135,Boone
1001,Black,-9,642.425,Boone
1001,Hispanic,25,650.7,Boone
1001,Pooled,50,685.5384880636605,Boone
1001,White,-9,680.9565217391304,Boone
1001,Pooled,25,655.4062068965517,Boone
1001,Hispanic,50,666.5833333333334,Boone
1001,Black,50,642.425,Boone
1001,Black,25,620,Boone
1001,Hispanic,75,682.4666666666667,Boone
1001,Asian,25,708.4,Boone
1001,Asian,75,733.8,Boone
1002,Asian,75,706.6222222222223,Morganton
1002,White,75,703.4160649819495,Morganton
1002,Hispanic,75,690.2702702702703,Morganton
1002,AIAN,25,625.2,Morganton
1002,Asian,50,699.219934640523,Morganton
1002,Asian,25,691.8176470588236,Morganton
1002,Hispanic,25,642.2039215686275,Morganton
1002,White,-9,666.0454113924051,Morganton
1002,Pooled,75,701.1925774877651,Morganton
1002,Asian,-9,696.9423076923077,Morganton
1002,Black,50,622.1866104636747,Morganton
1002,White,25,636.8857746478873,Morganton
1002,Hispanic,50,666.2370959194488,Morganton
1002,Black,25,595.4137614678899,Morganton
1002,White,50,670.1509198149183,Morganton
1002,Black,75,648.9594594594595,Morganton
1002,AIAN,-9,643.05,Morganton
1002,Pooled,-9,664.0310895211659,Morganton
1002,Black,-9,608.9835616438356,Morganton
1002,AIAN,75,660.9,Morganton
1002,AIAN,50,643.05,Morganton
1002,Pooled,50,668.8557996134477,Morganton
1002,Pooled,25,636.5190217391304,Morganton
1002,Hispanic,-9,662.4136363636363,Morganton
1100,White,-9,671.8906500160102,Hickory
1100,Pooled,-9,663.4982539682539,Hickory
1100,Hispanic,75,677.0864406779662,Hickory
1100,White,50,668.9550438759575,Hickory
1100,Asian,75,721.5,Hickory
1100,Hispanic,50,659.3785144566301,Hickory
1100,Pooled,75,699.6050458715596,Hickory
1100,AIAN,75,654.7333333333333,Hickory
1100,Black,-9,598.4063657407407,Hickory
1100,Hispanic,25,641.6705882352941,Hickory
1100,White,25,634.6183473389356,Hickory
1100,Asian,-9,705.1147368421052,Hickory
1100,AIAN,50,631.2333333333333,Hickory
1100,Pooled,50,664.1915343524897,Hickory
1100,AIAN,25,607.7333333333333,Hickory
1100,Black,75,631.5952662721894,Hickory
1100,White,75,703.2917404129794,Hickory
1100,AIAN,-9,631.2333333333333,Hickory
1100,Pooled,25,628.7780228334199,Hickory
1100,Black,25,590.3359712230216,Hickory
1100,Asian,50,709.1460317460317,Hickory
1100,Hispanic,-9,651.5268867924528,Hickory
1100,Black,50,610.9656187476055,Hickory
1100,Asian,25,696.7920634920634,Hickory
1201,Black,75,638.3,Franklin
1201,Black,-9,634.5,Franklin
1201,Hispanic,-9,675.925,Franklin
1201,Black,25,630.7,Franklin
1201,Pooled,25,658.5030150753769,Franklin
1201,Asian,75,736.2,Franklin
1201,Hispanic,75,703.35,Franklin
1201,Asian,50,722.45,Franklin
1201,Pooled,75,707.6160583941606,Franklin
1201,White,75,710.234188034188,Franklin
1201,White,-9,679.5293918918919,Franklin
1201,AIAN,25,613.3,Franklin
1201,Hispanic,50,675.925,Franklin
1201,Black,50,634.5,Franklin
1201,White,50,684.8469822852504,Franklin
1201,Asian,-9,722.45,Franklin
1201,Asian,25,708.7,Franklin
1201,White,25,659.4597765363128,Franklin
1201,AIAN,-9,646.8,Franklin
1201,AIAN,50,646.8,Franklin
1201,Hispanic,25,648.5,Franklin
1201,Pooled,50,683.0595367347687,Franklin
1201,AIAN,75,680.3,Franklin
1201,Pooled,-9,678.5282738095239,Franklin
1202,Black,25,598.7,Sylva
1202,Black,-9,636.8,Sylva
1202,AIAN,25,611.2881720430107,Sylva
1202,Hispanic,75,674.1,Sylva
1202,Black,50,636.8,Sylva
1202,AIAN,75,665.623076923077,Sylva
1202,AIAN,50,638.4556244830438,Sylva
1202,White,-9,677.6689497716895,Sylva
1202,Pooled,75,700.8569620253164,Sylva
1202,AIAN,-9,627.3416666666667,Sylva
1202,Pooled,25,642.6484261501211,Sylva
1202,White,25,655.9,Sylva
1202,White,75,716.246835443038,Sylva
1202,White,50,686.073417721519,Sylva
1202,Hispanic,50,656.4833333333333,Sylva
1202,Pooled,-9,663.8721538461539,Sylva
1202,Black,75,674.9,Sylva
1202,Hispanic,25,638.8666666666667,Sylva
1202,Pooled,50,671.7526940877187,Sylva
1202,Hispanic,-9,656.4833333333333,Sylva
1203,White,50,680.8971607909962,Asheville
1203,White,25,650.9110677083333,Asheville
1203,Black,25,597.6808988764045,Asheville
1203,Hispanic,75,690.2,Asheville
1203,Asian,25,718.351724137931,Asheville
1203,Hispanic,-9,667.0380952380953,Asheville
1203,Pooled,75,707.6966063977746,Asheville
1203,Hispanic,25,654.9536231884058,Asheville
1203,White,-9,682.2219975108899,Asheville
1203,Black,75,630.2859649122807,Asheville
1203,AIAN,-9,637.4833333333333,Asheville
1203,Hispanic,50,672.5768115942029,Asheville
1203,Asian,-9,722.1913793103448,Asheville
1203,AIAN,25,614.8333333333334,Asheville
1203,AIAN,75,660.1333333333333,Asheville
1203,Asian,50,722.1913793103448,Asheville
1203,Asian,75,726.0310344827586,Asheville
1203,AIAN,50,637.4833333333333,Asheville
1203,Black,50,613.9834318943426,Asheville
1203,Pooled,-9,676.8109647906848,Asheville
1203,Black,-9,605.5893617021277,Asheville
1203,Pooled,25,646.1301464492954,Asheville
1203,White,75,710.8832538736591,Asheville
1203,Pooled,50,676.9133764235351,Asheville
1204,White,-9,675.175625,Andrews
1204,AIAN,50,658.95,Andrews
1204,Black,50,602,Andrews
1204,AIAN,75,693.3,Andrews
1204,Hispanic,25,658.525,Andrews
1204,White,25,657.1957142857143,Andrews
1204,Black,25,583.2,Andrews
1204,White,50,683.3483116883117,Andrews
1204,Pooled,75,705.205223880597,Andrews
1204,White,75,709.5009090909091,Andrews
1204,AIAN,-9,658.95,Andrews
1204,AIAN,25,624.6,Andrews
1204,Pooled,25,655.4645299145299,Andrews
1204,Pooled,50,680.3348768975634,Andrews
1204,Pooled,-9,673.5766304347826,Andrews
1204,Black,-9,602,Andrews
1204,Hispanic,-9,679.1375,Andrews
1204,Hispanic,50,679.1375,Andrews
1204,Hispanic,75,699.75,Andrews
1204,Black,75,620.8,Andrews
1301,Hispanic,25,621.95,Bennettsville
1301,AIAN,75,666.2454545454545,Bennettsville
1301,White,-9,651.4326139088729,Bennettsville
1301,Black,75,628.0344827586207,Bennettsville
1301,Pooled,25,599.6137873754153,Bennettsville
1301,Asian,50,682.425,Bennettsville
1301,Black,25,582.420895522388,Bennettsville
1301,AIAN,25,577.8384615384615,Bennettsville
1301,AIAN,50,622.041958041958,Bennettsville
1301,White,25,621.8529411764706,Bennettsville
1301,White,50,656.3074761748275,Bennettsville
1301,White,75,690.7620111731843,Bennettsville
1301,Hispanic,-9,637.55,Bennettsville
1301,Hispanic,75,653.15,Bennettsville
1301,Black,50,605.2276891405044,Bennettsville
1301,Asian,75,693.85,Bennettsville
1301,Pooled,75,680.6982978723404,Bennettsville
1301,AIAN,-9,618.3583333333333,Bennettsville
1301,Pooled,-9,622.3794504181601,Bennettsville
1301,Asian,25,671,Bennettsville
1301,Hispanic,50,637.55,Bennettsville
1301,Black,-9,586.0549450549451,Bennettsville
1301,Pooled,50,640.1560426238779,Bennettsville
1301,Asian,-9,682.425,Bennettsville
1302,Hispanic,75,656.9081081081081,Florence
1302,Asian,-9,710.1566037735849,Florence
1302,Hispanic,-9,633.078640776699,Florence
1302,Black,-9,588.5066108786611,Florence
1302,Asian,75,720.2735849056604,Florence
1302,Black,50,604.5935025211485,Florence
1302,Asian,50,710.1566037735849,Florence
1302,AIAN,75,654.1333333333333,Florence
1302,Hispanic,25,619.719696969697,Florence
1302,Black,25,583.4684085510689,Florence
1302,Asian,25,700.0396226415095,Florence
1302,AIAN,25,594.1333333333333,Florence
1302,AIAN,50,624.1333333333333,Florence
1302,Pooled,25,607.9851553509782,Florence
1302,White,50,668.0549304948004,Florence
1302,White,75,699.2755211435378,Florence
1302,Pooled,50,648.010479210951,Florence
1302,AIAN,-9,624.1333333333333,Florence
1302,White,-9,667.9622327790973,Florence
1302,White,25,636.8343398460628,Florence
1302,Pooled,75,688.0358030709237,Florence
1302,Pooled,-9,635.530258302583,Florence
1302,Black,75,625.718596491228,Florence
1302,Hispanic,50,638.3139025389025,Florence
1400,AIAN,75,661.1490909090909,Fayetteville
1400,White,50,672.4055492479918,Fayetteville
1400,Hispanic,75,688.5798642533937,Fayetteville
1400,Hispanic,-9,661.6812824956672,Fayetteville
1400,Pooled,50,654.7442112651777,Fayetteville
1400,Asian,75,728.8588235294118,Fayetteville
1400,Pooled,-9,648.372854715378,Fayetteville
1400,Asian,-9,716.393006993007,Fayetteville
1400,Black,50,615.7225631650872,Fayetteville
1400,Asian,50,716.9747450980392,Fayetteville
1400,Black,25,594.704132035146,Fayetteville
1400,White,-9,675.1191145953424,Fayetteville
1400,White,25,641.022261484099,Fayetteville
1400,AIAN,-9,619.7146868250539,Fayetteville
1400,White,75,703.7888370118845,Fayetteville
1400,AIAN,25,606.8031161473087,Fayetteville
