par_cz,kid_race,par_pctile,shrunk_xkid_mtabalance2020,cz_name
100,White,25,34817.16755319149,Johnson City
100,Asian,-9,132438.7692307692,Johnson City
100,Black,25,21335.42713567839,Johnson City
100,Hispanic,75,83744.51612903226,Johnson City
100,AIAN,-9,59976.25,Johnson City
100,Hispanic,-9,61108.85416666666,Johnson City
100,AIAN,25,22815,Johnson City
100,White,-9,57140.48101265823,Johnson City
100,White,75,83765.59080095163,Johnson City
100,Pooled,75,83903.27157027887,Johnson City
100,AIAN,75,97137.5,Johnson City
100,Asian,50,132438.7692307692,Johnson City
100,Black,50,36420.28237517864,Johnson City
100,Asian,25,122249.2307692308,Johnson City
100,Pooled,-9,57395.09528671091,Johnson City
100,Pooled,25,35302.88098580565,Johnson City
100,White,50,59291.37917707156,Johnson City
100,Hispanic,50,61794.78331704138,Johnson City
100,Asian,75,142628.3076923077,Johnson City
100,Hispanic,25,39845.0505050505,Johnson City
100,Black,75,51505.1376146789,Johnson City
100,AIAN,50,59976.25,Johnson City
100,Pooled,50,59603.07627804226,Johnson City
100,Black,-9,32012.37012987013,Johnson City
200,Black,50,34316.51217113352,Morristown
200,AIAN,75,72440,Morristown
200,Black,25,25299.75903614458,Morristown
200,AIAN,50,48422.5,Morristown
200,AIAN,25,24405,Morristown
200,White,-9,51337.15178571428,Morristown
200,White,75,80278.50909090909,Morristown
200,Hispanic,75,57061.73913043478,Morristown
200,Pooled,-9,51125.91440501044,Morristown
200,Pooled,25,34660.75873544093,Morristown
200,Black,-9,31994.01515151515,Morristown
200,Pooled,50,56752.66228088574,Morristown
200,White,25,34463.21554770318,Morristown
200,Pooled,75,78844.56582633054,Morristown
200,White,50,57370.86231930614,Morristown
200,Asian,75,98783.33333333333,Morristown
200,Hispanic,50,45765.48494983277,Morristown
200,Asian,50,98181.66666666666,Morristown
200,Hispanic,-9,45073.87755102041,Morristown
200,AIAN,-9,48422.5,Morristown
200,Asian,-9,98181.66666666667,Morristown
200,Asian,25,97580,Morristown
200,Hispanic,25,34469.23076923077,Morristown
200,Black,75,43333.26530612245,Morristown
301,Pooled,25,33367.40566037736,Middlesborough
301,White,-9,42111.27102803739,Middlesborough
301,Asian,50,123775,Middlesborough
301,Asian,25,118950,Middlesborough
301,Asian,-9,123775,Middlesborough
301,White,50,52168.04166666666,Middlesborough
301,Pooled,75,71733.97484276729,Middlesborough
301,White,75,72471.33333333333,Middlesborough
301,Hispanic,-9,47970,Middlesborough
301,Black,50,17252,Middlesborough
301,Asian,75,128600,Middlesborough
301,White,25,31864.75,Middlesborough
301,Hispanic,75,57175,Middlesborough
301,Pooled,-9,43831.01543739279,Middlesborough
301,Hispanic,25,38765,Middlesborough
301,Black,-9,17252,Middlesborough
301,Hispanic,50,47970,Middlesborough
301,Black,25,17520,Middlesborough
301,Black,75,16984,Middlesborough
301,Pooled,50,52550.69025157232,Middlesborough
302,Pooled,75,91465.68332543819,Knoxville
302,AIAN,-9,51521,Knoxville
302,AIAN,50,51521,Knoxville
302,Black,50,36678.87588669594,Knoxville
302,Asian,75,135851.8032786885,Knoxville
302,AIAN,25,24204,Knoxville
302,Black,-9,30546.2,Knoxville
302,White,25,42506.83748169839,Knoxville
302,Black,75,51217.54716981132,Knoxville
302,Hispanic,75,85530.21428571429,Knoxville
302,White,75,92580.18660531698,Knoxville
302,White,50,67543.51204350768,Knoxville
302,Pooled,-9,67167.31314984709,Knoxville
302,Asian,50,124140.9016393443,Knoxville
302,AIAN,75,78838,Knoxville
302,Asian,25,112430,Knoxville
302,Asian,-9,126036.9523809524,Knoxville
302,Black,25,22140.20460358056,Knoxville
