par_cz,kid_race,par_pctile,shrunk_xkid_stubalance2020,cz_name
100,Black,50,16636.91697017196,Johnson City
100,AIAN,-9,8593.5,Johnson City
100,White,50,8394.164639997807,Johnson City
100,Asian,75,21465.78461538461,Johnson City
100,AIAN,75,10419.75,Johnson City
100,Hispanic,25,6068.161616161616,Johnson City
100,Black,-9,15813.14285714286,Johnson City
100,White,25,6247.35505319149,Johnson City
100,Pooled,-9,8548.62787136294,Johnson City
100,Asian,-9,18891.12307692308,Johnson City
100,Pooled,75,10905.64776342879,Johnson City
100,Asian,25,16316.46153846154,Johnson City
100,White,75,10540.97422680412,Johnson City
100,Hispanic,-9,9643.395833333334,Johnson City
100,Hispanic,75,13449.29032258065,Johnson City
100,AIAN,50,8593.5,Johnson City
100,White,-9,8205.493851717902,Johnson City
100,Pooled,25,6584.260801746997,Johnson City
100,Black,75,19456.05504587156,Johnson City
100,Pooled,50,8744.954282587893,Johnson City
100,AIAN,25,6767.25,Johnson City
100,Black,25,13817.77889447236,Johnson City
100,Asian,50,18891.12307692308,Johnson City
100,Hispanic,50,9758.725969371131,Johnson City
200,White,25,5756.512367491167,Morristown
200,Asian,75,11828.33333333333,Morristown
200,Black,25,13183.13253012048,Morristown
200,Black,75,19744.32653061224,Morristown
200,Pooled,25,6008.663560732113,Morristown
200,Pooled,75,10079.00840336134,Morristown
200,White,-9,7233.751785714286,Morristown
200,Asian,-9,11610.66666666667,Morristown
200,Hispanic,25,5672.615384615385,Morristown
200,Asian,25,11393,Morristown
200,AIAN,25,6406,Morristown
200,Asian,50,11610.66666666667,Morristown
200,Hispanic,-9,7177.714285714285,Morristown
200,Pooled,-9,7525.483089770355,Morristown
200,White,50,7761.976789806189,Morristown
200,Hispanic,50,7275.872909698996,Morristown
200,AIAN,75,13435,Morristown
200,Pooled,50,8043.835982046729,Morristown
200,AIAN,50,9920.5,Morristown
200,White,75,9767.441212121212,Morristown
200,Hispanic,75,8879.130434782608,Morristown
200,Black,50,16463.72953036636,Morristown
200,Black,-9,15618.72727272727,Morristown
200,AIAN,-9,9920.5,Morristown
301,Asian,25,14850,Middlesborough
301,Asian,50,18805,Middlesborough
301,White,75,11723.03703703704,Middlesborough
301,Asian,-9,18805,Middlesborough
301,White,50,9291.306018518519,Middlesborough
301,Black,50,19200,Middlesborough
301,Hispanic,-9,11065.25,Middlesborough
301,Black,25,14210,Middlesborough
301,Pooled,75,13032.51572327044,Middlesborough
301,Pooled,25,7168.382075471698,Middlesborough
301,White,25,6859.575,Middlesborough
301,White,-9,8086.803738317757,Middlesborough
301,Pooled,50,10100.44889937107,Middlesborough
301,Pooled,-9,8767.691252144083,Middlesborough
301,Asian,75,22760,Middlesborough
301,Hispanic,75,14245,Middlesborough
301,Hispanic,50,11065.25,Middlesborough
301,Hispanic,25,7885.5,Middlesborough
301,Black,-9,19200,Middlesborough
301,Black,75,24190,Middlesborough
302,Pooled,75,10913.60184746566,Knoxville
302,Hispanic,50,11329.83373493976,Knoxville
302,Asian,50,12051.23845007452,Knoxville
302,Asian,25,13494.18181818182,Knoxville
302,Hispanic,-9,11029.51960784314,Knoxville
302,Black,50,18250.35183934115,Knoxville
302,AIAN,-9,10829.7,Knoxville
302,Black,25,13600.26342710997,Knoxville
302,AIAN,25,8650,Knoxville
302,White,25,6255.251830161054,Knoxville
302,Asian,75,10608.29508196721,Knoxville
302,White,50,8302.506027554966,Knoxville
302,Pooled,25,7106.791677207184,Knoxville
302,AIAN,50,10829.7,Knoxville
302,Hispanic,25,7795.367469879518,Knoxville
302,Asian,-9,11817.61904761905,Knoxville
302,Pooled,-9,9072.828685015291,Knoxville
302,White,75,10349.76022494888,Knoxville
302,Hispanic,75,14864.3,Knoxville
302,White,-9,8441.373959328512,Knoxville
302,Pooled,50,9010.19676233642,Knoxville
302,Black,-9,16288.86,Knoxville
302,AIAN,75,13009.4,Knoxville
302,Black,75,22900.44025157233,Knoxville
401,AIAN,50,8033.88,Winston-Salem
401,Black,75,24250.89147286822,Winston-Salem
401,Hispanic,-9,9298.937142857143,Winston-Salem
401,AIAN,25,6206.84,Winston-Salem
401,Asian,25,12506.94117647059,Winston-Salem
401,White,-9,7648.842569269522,Winston-Salem
401,Pooled,75,10349.39450664801,Winston-Salem
401,AIAN,75,9860.92,Winston-Salem
401,Pooled,50,10114.84130144557,Winston-Salem
401,Asian,-9,17636.26315789474,Winston-Salem
401,AIAN,-9,8033.88,Winston-Salem
401,Hispanic,75,14061.04132231405,Winston-Salem
401,Hispanic,25,6782.71615720524,Winston-Salem
401,White,75,8624.855130784708,Winston-Salem
401,Black,-9,19827.26809378185,Winston-Salem
401,Asian,50,17147.75630252101,Winston-Salem
401,Black,50,21249.80258290714,Winston-Salem
401,White,50,7320.2188111836,Winston-Salem
401,Asian,75,21788.57142857143,Winston-Salem
401,Hispanic,50,10421.87873975964,Winston-Salem
401,Black,25,18248.71369294606,Winston-Salem
401,White,25,6015.582491582491,Winston-Salem
401,Pooled,25,9880.288096243141,Winston-Salem
401,Pooled,-9,10136.78438875072,Winston-Salem
402,Black,75,21374.61538461538,Martinsville
402,White,75,9545.016632016632,Martinsville
402,Asian,75,11095,Martinsville
402,White,-9,7778.629921259842,Martinsville
402,White,50,7867.774671148503,Martinsville
402,White,25,6190.532710280374,Martinsville
402,Pooled,75,11329.5041736227,Martinsville
402,Black,25,14826.17283950617,Martinsville
402,Hispanic,50,13287.66666666667,Martinsville
402,Asian,-9,12715,Martinsville
402,Pooled,-9,10292.84112149533,Martinsville
402,Hispanic,75,14603.33333333333,Martinsville
402,Black,-9,16096.76616915423,Martinsville
402,Pooled,50,10465.8104850316,Martinsville
402,Black,50,18100.39411206078,Martinsville
402,Hispanic,25,11972,Martinsville
402,Asian,25,14335,Martinsville
402,Pooled,25,9602.116796440489,Martinsville
402,Asian,50,12715,Martinsville
402,Hispanic,-9,13287.66666666667,Martinsville
500,Black,25,16760.38611925709,Greensboro
500,AIAN,25,5725.533333333334,Greensboro
500,Hispanic,75,10667.98888888889,Greensboro
500,Pooled,50,10074.56836696617,Greensboro
500,AIAN,50,6637.266666666666,Greensboro
500,Pooled,75,10324.11517105499,Greensboro
500,Pooled,25,9825.021562877351,Greensboro
500,Hispanic,25,6023.713080168776,Greensboro
500,Asian,-9,12027.44711538462,Greensboro
500,White,25,5877.308998808105,Greensboro
500,Hispanic,-9,7301.954128440367,Greensboro
500,White,75,8372.58554418216,Greensboro
500,Black,50,21067.11485663354,Greensboro
500,Hispanic,50,8345.850984528832,Greensboro
500,Black,-9,18716.0672459388,Greensboro
500,AIAN,-9,6554.381818181818,Greensboro
500,Black,75,25373.84359400998,Greensboro
500,White,-9,7344.19943509763,Greensboro
500,AIAN,75,7549,Greensboro
500,White,50,7124.947271495133,Greensboro
500,Asian,75,14518.05,Greensboro
500,Pooled,-9,10069.87565905097,Greensboro
500,Asian,25,10470.8203125,Greensboro
500,Asian,50,12494.43515625,Greensboro
601,Black,25,13603.6,North Wilkesboro
601,White,25,3917.6875,North Wilkesboro
601,White,75,7334.842105263157,North Wilkesboro
601,Hispanic,75,8038.411764705882,North Wilkesboro
601,Black,75,21030,North Wilkesboro
601,Hispanic,50,6447.382352941177,North Wilkesboro
