cz,czname,hhinc_mean2000,mean_commutetime2000,frac_coll_plus2000,frac_coll_plus2010,foreign_share2010,med_hhinc1990,med_hhinc2016,poor_share2010,poor_share2000,poor_share1990,share_white2010,share_black2010,share_hisp2010,share_asian2010,share_black2000,share_white2000,share_hisp2000,share_asian2000,gsmn_math_g3_2013,rent_twobed2015,singleparent_share2010,singleparent_share1990,singleparent_share2000,traveltime15_2010,emp2000,mail_return_rate2010,ln_wage_growth_hs_grad,popdensity2010,popdensity2000,job_growth_1990_2010,ann_avg_job_growth_2004_2013,job_density_2013,wrluri
100,Johnson City,59860.527,23.411057,.16093114,.18965542,.017446142,23429.28604502216,40877.91306868338,.17982559,.1403583,.15736394,.93935162,.026929308,.019043196,.0052240412,.022396516,.95735186,.0093524652,.0036093367,3.3339169,614.79083,.31781429,.17896432,.25025192,.33283123,.55842197,83.475624,.053652253,154.77071,146.33286,7.0584106,-.0045253322,64.64209,-.89741784
200,Morristown,59275.352,26.602575,.11926994,.13321449,.037849862,22244.59831460279,40892.20225134844,.17500085,.14362594,.15896535,.9052102,.023542965,.054451689,.0054114237,.02104741,.94341844,.022516619,.0036895475,3.0006671,609.19214,.28815582,.17784593,.25609761,.27680033,.58887959,82.412758,.060870294,150.41342,130.70915,34.191025,-.0014466653,64.441742,-.90867293
301,Middlesborough,43814.246,27.833965,.090171635,.10800749,.0063506691,15142.87663676518,28856.24043530263,.24855065,.26818877,.31351006,.9601022,.017704472,.0070286314,.0034519515,.015546428,.9661867,.0061634914,.0031225246,2.660032,479.61505,.31828013,.19572031,.26695865,.36225104,.44264627,72.750984,-.027683139,66.661812,65.662712,7.9892364,-.0041645179,21.706455,
302,Knoxville,71287.086,25.232512,.22964355,.26265728,.033268381,28026.41270226572,51744.68287885793,.15029365,.13007838,.14228685,.88005483,.064235002,.030966457,.011191444,.055931833,.91241187,.011625143,.0085430648,3.2328141,725.93762,.2990973,.18985604,.2607922,.26997578,.58923465,82.772972,.071443021,257.01471,229.47797,25.2276,.000076766781,114.21898,-.2880592
401,Winston-Salem,75770.578,24.261778,.22249681,.24923749,.072342336,30602.93197422345,47956.93217867571,.15142091,.10602662,.099552758,.68965888,.18538965,.10233954,.011115588,.17201884,.75442004,.057752281,.006759909,3.6197143,677.62054,.33545193,.21826845,.2868259,.30125517,.62946784,81.118195,.020393131,277.34424,248.05475,7.9306564,-.000037774724,125.73418,-.6892581
402,Martinsville,57043.449,24.090567,.10375003,.12040398,.028802762,24921.83770707705,35189.430894497,.1721528,.13099132,.11120854,.71851218,.22969627,.040954407,.0041791,.22337052,.73844367,.029311845,.0033426038,2.9812839,526.69897,.41401517,.23342842,.31715462,.32454556,.56499165,83.799454,.12188588,98.657661,105.83602,-29.175755,-.011780691,38.210419,
500,Greensboro,73459.125,23.843529,.20323785,.22360179,.068158463,29813.11287334445,47130.67952756984,.16531391,.10846167,.098564394,.65598625,.23817343,.072812028,.014892972,.21122204,.72628021,.03948972,.0097195255,3.5389855,680.56177,.35530698,.21633781,.29534495,.30618104,.63959771,81.194328,.048212491,265.3107,239.65622,5.4620843,.000076397635,121.15679,-.2845391
601,North Wilkesboro,59851.461,25.915499,.11601639,.13671912,.033097163,21575.50384877462,36261.59994204158,.18711056,.1224471,.14654861,.90049779,.035416733,.052607611,.0037279681,.032536913,.92854458,.031120643,.0027593793,3.28966,528.64429,.25863123,.16351515,.22963874,.27843115,.59402597,84.119705,-.04487795,81.853622,76.227242,-5.5477529,-.01170385,33.000343,
602,Galax,55223.191,25.97879,.096239835,.1225751,.028268877,20333.09182421943,35329.19022454996,.19079903,.1421732,.15983608,.92219156,.019506995,.049943548,.0019877157,.025478205,.93426543,.032588318,.0017917237,2.9999704,538.65808,.31479022,.17867257,.23185627,.30607262,.56889629,85.222992,.13861957,54.968044,55.751793,-8.7613401,-.01290966,21.796038,
700,Spartanburg,67879.367,24.057863,.170527,.18276437,.048659831,27445.68314060449,44562.3244063528,.1595773,.12079633,.11349761,.71287775,.21128444,.051639598,.007956815,.19625869,.75950497,.025392421,.0064398996,3.034132,662.0611,.33230689,.21770656,.30349818,.29182026,.60245889,79.119476,-.0066010584,199.28851,181.57433,-1.9469939,.0002862447,84.412354,-1.2602013
