cz,czname,kfr_pooled_pooled_p25,kfr_pooled_pooled_p25_se,jail_pooled_pooled_p25,jail_pooled_pooled_p25_se,pooled_pooled_count,kfr_black_pooled_p25,kfr_black_pooled_p25_se,kfr_hisp_pooled_p25,kfr_hisp_pooled_p25_se,kfr_white_pooled_p25,kfr_white_pooled_p25_se,jail_black_pooled_p25,jail_black_pooled_p25_se,jail_hisp_pooled_p25,jail_hisp_pooled_p25_se,jail_white_pooled_p25,jail_white_pooled_p25_se,white_pooled_count,black_pooled_count,hisp_pooled_count,kfr_pooled_female_p25,kfr_pooled_female_p25_se,kfr_pooled_male_p25,kfr_pooled_male_p25_se,jail_pooled_female_p25,jail_pooled_female_p25_se,jail_pooled_male_p25,jail_pooled_male_p25_se,pooled_male_count,pooled_female_count,kfr_black_female_p25,kfr_black_female_p25_se,kfr_hisp_female_p25,kfr_hisp_female_p25_se,kfr_white_female_p25,kfr_white_female_p25_se,kfr_black_male_p25,kfr_black_male_p25_se,kfr_hisp_male_p25,kfr_hisp_male_p25_se,kfr_white_male_p25,kfr_white_male_p25_se,jail_black_female_p25,jail_black_female_p25_se,jail_hisp_female_p25,jail_hisp_female_p25_se,jail_white_female_p25,jail_white_female_p25_se,jail_black_male_p25,jail_black_male_p25_se,jail_hisp_male_p25,jail_hisp_male_p25_se,jail_white_male_p25,jail_white_male_p25_se,white_male_count,black_male_count,hisp_male_count,white_female_count,black_female_count,hisp_female_count
100,Johnson City,.36425951,.0017140553,.024146512,.0012303018,65394.867,.30566585,.0073291939,.35628146,.013914736,.37713051,.0019164158,.070957921,.010041914,.0049577709,.0021047948,.021983333,.0012085321,60192.375,2151.9985,1043.3511,.37656775,.0023743743,.35234427,.00245831,.0098046791,.0011861416,.039043516,.0022621953,33790.605,31601.564,.32718021,.010199838,.36321464,.018884126,.3877362,.0027174831,.28381753,.010325765,.34901303,.019329567,.36668181,.0027277207,.017826619,.0064621861,-.0017383998,.00098271447,.0093324715,.0012944862,.13617581,.019810628,.011251038,.0051207901,.035138886,.00217341,31015.438,1120.0574,512.98523,29177.33,1030.532,528.73157
200,Morristown,.36348888,.0023789536,.030779902,.0020088903,31520.754,.32786188,.013017873,.34381938,.016851613,.37478155,.0025906954,.063630849,.016089384,.009441399,.0063128779,.029903328,.0020666651,28543.424,872.25269,1078.3303,.37578619,.0033583897,.35167435,.0033196223,.014245608,.001630738,.047277447,.0034794726,16346.746,15173.242,.33560711,.016456194,.32583687,.019584166,.38641578,.0036742752,.31891447,.018194549,.36843926,.024864927,.36337814,.0036339185,.0088596689,.00787446,-.000084332685,.001297028,.014763845,.0021435139,.11552773,.029918309,.026977101,.01960478,.04533571,.0041271322,14770.065,448.39703,543.33228,13770.289,423.7341,521.21185
301,Middlesborough,.37954086,.0043152869,.031916656,.003820732,11554.734,.34581968,.03264121,.3492485,.038408116,.39102951,.0048328149,.060724903,.043320946,.0032102473,.0084276441,.03117669,.0039229598,10976.791,198.72382,111.40015,.38823214,.0061037205,.37120914,.0064366725,.015407452,.0030930787,.049236983,.0064446433,5745.4736,5811.8999,.38965994,.044690821,,,.39948294,.0068014679,.30103114,.043449759,.42028442,.060532566,.38282335,.0068302751,.013389432,.022395181,,,.015388225,.0040301858,,,.0052321316,.014413486,.047002953,.0079143755,5495.7251,96.062309,56.109978,5480.2344,102.17345,
302,Knoxville,.36562887,.0015636316,.024405211,.0011552661,76630.773,.29435778,.003563416,.39004859,.01066956,.38633901,.0018500134,.059151739,.0051552136,.021155281,.0061329766,.019760521,.0011173119,63132.328,8525.0049,1533.6669,.37902331,.002147571,.35277426,.0022292575,.0079684323,.00091949495,.041572005,.0022062531,39317.52,37314.801,.31229207,.0050711529,.39020595,.014502718,.39776891,.0026612622,.27650642,.0054329885,.38962141,.014655035,.37502909,.0026227506,.01190976,.0028483684,.014141837,.0066892421,.0074987626,.001017343,.11642197,.0097948676,.026977934,.010521049,.032452621,.002096086,32243.463,4416.3237,820.41443,30884.627,4111.8672,719.05774
401,Winston-Salem,.3585453,.0019610277,.030839764,.001757456,51182.789,.3051528,.0026807659,.38897836,.0084096221,.40425551,.0027202091,.049845885,.003284571,.016758816,.0044296621,.018148448,.001746836,26499.16,18085.848,6612.6162,.37373129,.0027306341,.34340101,.0029192534,.004418382,.00092132116,.061334204,.0034535914,25901.162,25269.561,.3281756,.0035996495,.3926377,.010942551,.41184783,.0039540972,.28157952,.0041130455,.38405144,.011600257,.39593577,.0041742306,.005203357,.001346059,.000057022586,.0003964029,.0047317958,.0011146921,.1055536,.0067750909,.037764896,.01078862,.032660697,.0032315499,13281.531,9181.0146,3282.2849,13204.405,8900.9834,3320.9861
402,Martinsville,.36154455,.0039113206,.043098237,.0039351061,12111.087,.32100838,.0059461878,.42269021,.028209271,.3983196,.0058341431,.080257632,.0087049063,-.004911765,.0036560516,.022147942,.0036676833,6923.6577,4277.0908,665.39722,.37508053,.0059707621,.34764811,.0056456835,.0058043543,.0020073778,.083742335,.0077057625,6192.9346,5919.606,.34201714,.0081799896,.39533171,.036490988,.40467447,.0083160279,.29851106,.0087384041,.4608826,.044336993,.39287621,.0082641542,.0024157802,.0019989947,.0012914607,.0055927141,.0079795551,.0031425112,.17356406,.017429186,.0092500048,.0097158924,.036349203,.0065726917,3571.9028,2157.8113,349.21817,3351.2598,2120.9531,315.8952
500,Greensboro,.35171974,.0012494627,.034843579,.0011069805,120975.87,.30685589,.0016289634,.37678617,.0060012857,.39983058,.0019234108,.05504005,.0020758845,.013673551,.0021878446,.02002061,.0012426904,59018.945,48424.879,9918.7578,.36648583,.0017298962,.33713228,.0018868302,.0055513382,.00061133108,.066959299,.002237506,61231.195,59746.023,.32700637,.0021798362,.381661,.007777852,.40956083,.0027107229,.28573209,.0025183861,.37220705,.0087236539,.39097977,.0027326066,.0069488375,.00099986978,.0010298614,.00052368344,.0049925377,.00087006582,.11373218,.0043232488,.027103312,.006306828,.035401743,.0022715381,29939.703,24293.789,5244.7544,29077.223,24121.289,4683.1572
601,North Wilkesboro,.38417399,.004473221,.017806722,.0025040463,11279.117,.31939813,.015343148,.36348191,.027036285,.39885142,.004723106,.086315043,.0231889,-.0012484976,.0023661449,.01450952,.0023085629,9954.9121,536.62805,586.94208,.40056854,.0064206184,.36902085,.0062523074,.0043654284,.0018358195,.031111706,.0049425452,5745.5552,5532.7217,.35227177,.021083839,.35628289,.034986041,.41402152,.0068028835,.27689868,.024210017,.36377993,.03793525,.38536993,.006529612,.01428628,.014426622,.006874444,.0084396768,.0047228429,.0016514241,.20195083,.05235463,-.0014948451,.0040395958,.023724264,.0043137562,5110.0996,234.09351,295.59106,4842.6479,301.83228,289.51187
602,Galax,.38194925,.0053205341,.021598034,.0033568838,8099.5791,.28516734,.023294738,.38875449,.029108761,.39766058,.005528606,.12769949,.047017738,.011318993,.014147922,.017686054,.0030413812,7204.0298,238.70296,600.0752,.40285164,.0075062006,.3634167,.0071804817,.0051923562,.0023752907,.036969565,.0063167647,4108.9165,3991.772,.29028058,.033599097,.40996796,.040787309,.4172855,.0080656325,.29646951,.034635596,.3795788,.044946227,.37971583,.0078193489,.0567073,.027832517,.0011859183,.0067187804,.0034303979,.0015968927,.1565413,.073061593,.019690806,.022752814,.031008394,.0049558389,3621.478,152.28236,342.44925,3585.7698,94.19339,263.13492
700,Spartanburg,.35068363,.0020071066,.038436837,.0020066828,44699.953,.31125614,.0027542079,.37332815,.011449544,.38835588,.0029721288,.063612223,.0037487014,.019049658,.0075554405,.0214455,.0019288171,23851.162,17967.287,1960.1351,.36005881,.0028029894,.34176141,.0028160538,.0063602575,.001062159,.072246999,.0038668665,23009.328,21692.615,.32432979,.0035972651,.37975615,.014590694,.39365509,.0042287782,.29789668,.0041579362,.36525333,.017280098,.38352391,.0041841608,.0061681825,.001546472,-.00016657167,.00055505842,.0058323843,.0015317074,.130448,.0075460565,.045995843,.017546611,.036607597,.0034924361,12329.158,9093.3242,1038.4357,11523.104,8872.3066,917.10272
