Time Series Search Export,Search term,Search filters,,Last update of Residential property prices data,Downloaded at,Source,Source URL,Download URL,About Residential property prices
,,,,2026-08-27,2026-09-01 18:33 CEST,BIS,https://data.bis.org/topics/RPP/data?sort=_GLOBAL_REF_AREA_SORT-ASC&selected_ts=BIS%2CWS_SPP%2C1.0%255EQ.5R.R.628,https://data.bis.org/api/export-timeseries?sort=_GLOBAL_REF_AREA_SORT-ASC&selected_ts=BIS%2CWS_SPP%2C1.0%255EQ.5R.R.628&file_format=csv&format=long&split_frequencies=false&transposed=false&include=code%2Clabel,https://data.bis.org/topics/RPP

KEY:Timeseries Key,FREQ:Frequency,REF_AREA:Reference area,VALUE:Value,UNIT_MEASURE:Unit of measure,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
BIS:WS_SPP(1.0):Q.5R.R.628,Q:Quarterly,5R:Advanced economies,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2007-12-31,F:Free,,A:Normal value,113.1182
BIS:WS_SPP(1.0):Q.5R.R.628,Q:Quarterly,5R:Advanced economies,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2008-03-31,F:Free,,A:Normal value,111.03
BIS:WS_SPP(1.0):Q.5R.R.628,Q:Quarterly,5R:Advanced economies,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2008-06-30,F:Free,,A:Normal value,107.545
BIS:WS_SPP(1.0):Q.5R.R.628,Q:Quarterly,5R:Advanced economies,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2008-09-30,F:Free,,A:Normal value,104.461
BIS:WS_SPP(1.0):Q.5R.R.628,Q:Quarterly,5R:Advanced economies,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2008-12-31,F:Free,,A:Normal value,102.3223
BIS:WS_SPP(1.0):Q.5R.R.628,Q:Quarterly,5R:Advanced economies,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2009-03-31,F:Free,,A:Normal value,100.4953
BIS:WS_SPP(1.0):Q.5R.R.628,Q:Quarterly,5R:Advanced economies,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2009-06-30,F:Free,,A:Normal value,99.4628
BIS:WS_SPP(1.0):Q.5R.R.628,Q:Quarterly,5R:Advanced economies,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2009-09-30,F:Free,,A:Normal value,100.2198
BIS:WS_SPP(1.0):Q.5R.R.628,Q:Quarterly,5R:Advanced economies,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2009-12-31,F:Free,,A:Normal value,100.5747
BIS:WS_SPP(1.0):Q.5R.R.628,Q:Quarterly,5R:Advanced economies,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2010-03-31,F:Free,,A:Normal value,100.364
BIS:WS_SPP(1.0):Q.5R.R.628,Q:Quarterly,5R:Advanced economies,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2010-06-30,F:Free,,A:Normal value,100.395
BIS:WS_SPP(1.0):Q.5R.R.628,Q:Quarterly,5R:Advanced economies,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2010-09-30,F:Free,,A:Normal value,100.022
BIS:WS_SPP(1.0):Q.5R.R.628,Q:Quarterly,5R:Advanced economies,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2010-12-31,F:Free,,A:Normal value,99.219
BIS:WS_SPP(1.0):Q.5R.R.628,Q:Quarterly,5R:Advanced economies,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2011-03-31,F:Free,,A:Normal value,97.9244
BIS:WS_SPP(1.0):Q.5R.R.628,Q:Quarterly,5R:Advanced economies,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2011-06-30,F:Free,,A:Normal value,97.1862
BIS:WS_SPP(1.0):Q.5R.R.628,Q:Quarterly,5R:Advanced economies,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2011-09-30,F:Free,,A:Normal value,97.4584
BIS:WS_SPP(1.0):Q.5R.R.628,Q:Quarterly,5R:Advanced economies,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2011-12-31,F:Free,,A:Normal value,96.4902
BIS:WS_SPP(1.0):Q.5R.R.628,Q:Quarterly,5R:Advanced economies,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2012-03-31,F:Free,,A:Normal value,96.3229
BIS:WS_SPP(1.0):Q.5R.R.628,Q:Quarterly,5R:Advanced economies,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2012-06-30,F:Free,,A:Normal value,96.5363
BIS:WS_SPP(1.0):Q.5R.R.628,Q:Quarterly,5R:Advanced economies,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2012-09-30,F:Free,,A:Normal value,97.1696
BIS:WS_SPP(1.0):Q.5R.R.628,Q:Quarterly,5R:Advanced economies,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2012-12-31,F:Free,,A:Normal value,97.4183
BIS:WS_SPP(1.0):Q.5R.R.628,Q:Quarterly,5R:Advanced economies,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2013-03-31,F:Free,,A:Normal value,97.8797
